blink_start,blink_end
4300423,4300564
4301982,4302106
4302752,4302897
4309037,4309148
4310007,4310172
4313430,4313556
4319107,4319207
4322776,4322869
4327406,4327564
4329871,4330058
4334638,4334839
4342304,4342499
4351403,4351510
4359170,4359301
4367873,4367987
4374035,4374292
4382508,4382594
4387856,4388062
4395915,4396072
4405907,4406088
4412106,4412307
4415910,4416062
4416708,4416875
4422128,4422333
4424012,4424193
4425879,4426100
4430262,4430495
4432807,4433031
4440411,4440524
4444580,4444718
4454605,4454685
4455846,4456052
4457028,4457231
4465200,4465317
4467077,4467284
4471486,4471735
4475923,4476089
4481470,4481694
4483928,4484127
4485651,4485815
4490356,4490605
4493136,4493386
4501474,4501675
4504753,4504952
4508832,4509097
4513560,4513779
4517739,4517943
4519958,4520112
4526567,4526819
4534773,4534929
4535707,4535944
4542295,4542507
4545228,4545448
4548682,4548934
4553700,4553847
4554039,4554227
4555246,4555481
4555902,4556144
4560990,4561204
4566444,4566669
4573765,4573940
4577134,4577336
4577542,4578000
4578382,4578536
4578730,4578898
4579282,4579896
4580902,4581067
4581257,4581446
4582509,4582735
4583119,4583259
4586280,4586475
4586833,4587052
4588604,4588812
4590298,4590513
4593678,4593894
4594597,4594853
4596360,4596617
4599140,4599508
4600846,4601053
4601525,4601789
4604762,4604999
4611462,4611704
4612054,4612305
4614497,4614748
4615632,4615875
4617618,4617933
4620765,4621006
4622778,4623048
4624803,4624879
4626054,4626055
4628453,4628706
4631053,4631614
4634191,4634413
4634601,4634856
4637868,4638078
4638898,4639138
4640951,4641139
4644707,4644933
4650099,4650303
4653901,4653911
4655084,4655087
4656505,4656506
4656687,4656732
4656886,4656887
4657740,4657927
4658305,4658547
4661324,4661613
4661822,4661872
4662929,4663169
4663610,4663825
4666354,4666611
4670150,4670368
4671340,4671624
4671791,4671874
4674182,4674426
4677043,4677148
4679615,4679838
4680225,4680256
4682480,4682696
4683072,4683074
4685529,4685656
4687675,4688027
4688075,4688176
4689005,4689103
4689362,4689524
4691248,4691457
4691859,4692137
4693269,4693419
4693718,4694355
4694497,4694530
4697453,4697573
4698327,4698591
4698633,4698701
4698830,4699039
4699384,4699477
4700602,4700842
4701009,4701622
4702372,4702582
4702734,4702800
4702843,4702850
4703102,4703295
4704596,4704799
4706926,4707116
4708667,4710075
4710120,4710181
4710227,4710290
4710986,4710987
4711044,4711136
4712018,4712415
4712713,4712850
4714221,4714393
4715253,4715445
4715858,4716362
4716862,4717015
