saccs_start,saccs_end
4299814,4299833
4300036,4300064
4300235,4300252
4300390,4300627
4300729,4300797
4301026,4301051
4301577,4301617
4301946,4302185
4302303,4302322
4302702,4302964
4303513,4303539
4304814,4304823
4305933,4305947
4307760,4307768
4309001,4309228
4309972,4310228
4310372,4310383
4311909,4311919
4313389,4313631
4316258,4316266
4316587,4316596
4319064,4319298
4319622,4319634
4320414,4320432
4322729,4322931
4324216,4324225
4324406,4324413
4327347,4327614
4327694,4327708
4327811,4327824
4328635,4328641
4329828,4330133
4330419,4330439
4330884,4330894
4331096,4331102
4334592,4334880
4334904,4334924
4339644,4339652
4339860,4339867
4341223,4341234
4341473,4341480
4342263,4342557
4342593,4342605
4342718,4342726
4345396,4345405
4345580,4345597
4345713,4345732
4345766,4345786
4348159,4348169
4348432,4348440
4348674,4348680
4349636,4349651
4350971,4350977
4351348,4351577
4351630,4351646
4359006,4359018
4359127,4359382
4359637,4359647
4359845,4359856
4362536,4362544
4362736,4362742
4363486,4363492
4363689,4363697
4366559,4366568
4366734,4366747
4367821,4368052
4368143,4368153
4369971,4369982
4370207,4370214
4370898,4370904
4371595,4371605
4371800,4371812
4372335,4372342
4373416,4373423
4373581,4373588
4373991,4374331
4374365,4374378
4374548,4374558
4375527,4375535
4380685,4380699
4382448,4382668
4382925,4382942
4383446,4383456
4383630,4383644
4384713,4384731
4385459,4385478
4386058,4386065
4386240,4386248
4386474,4386481
4387810,4388153
4388299,4388314
4389617,4389624
4390504,4390512
4390674,4390686
4392497,4392508
4392633,4392639
4392923,4392930
4393728,4393739
4394249,4394266
4394581,4394590
4395867,4396123
4396177,4396192
4399104,4399116
4401143,4401161
4401938,4401945
4402098,4402110
4405211,4405224
4405853,4406153
4406200,4406214
4406381,4406393
4406549,4406556
4406936,4406948
4407328,4407334
4407998,4408010
4408456,4408469
4409568,4409582
4412070,4412367
4412520,4412530
4413017,4413029
4413130,4413138
4413928,4413937
4414330,4414336
4414577,4414589
4414850,4414857
4415305,4415326
4415509,4415516
4415658,4415716
4415743,4415752
4415871,4416114
4416476,4416486
4416666,4416929
4418579,4418597
4419077,4419092
4419280,4419289
4419652,4419658
4420903,4420918
4421500,4421516
4422072,4422376
4422427,4422434
4423968,4424248
4424298,4424306
4424369,4424378
4424403,4424433
4424499,4424511
4425827,4426151
4427105,4427118
4427284,4427296
4427929,4427936
4429030,4429037
4430215,4430528
4431920,4431928
4432753,4433085
4433519,4433527
4433698,4433706
4434057,4434067
4434522,4434532
4439169,4439178
4439665,4439677
4440357,4440590
4440906,4440926
4444539,4444770
4444810,4444820
4446477,4446484
4447174,4447182
4448974,4448982
4449400,4449465
4449514,4449523
4451548,4451568
4451787,4451803
4452880,4452888
4453059,4453075
4453343,4453357
4454551,4454767
4454806,4454819
4454932,4454938
4455810,4456150
4456991,4457309
4460452,4460462
4461471,4461478
4462707,4462715
4465149,4465385
4465418,4465431
4465540,4465547
4467035,4467363
4471443,4471772
4472168,4472176
4473147,4473165
4473202,4473211
4475369,4475382
4475531,4475540
4475874,4476135
4476178,4476185
4480651,4480659
4481421,4481754
4481882,4481901
4481941,4481957
4482143,4482153
4483888,4484171
4484191,4484209
4484547,4484568
4484744,4484755
4485137,4485156
4485607,4485854
4485889,4485900
4486595,4486611
4488947,4488959
4490178,4490184
4490300,4490655
4491052,4491058
4492696,4492705
4493078,4493434
4493487,4493494
4493562,4493569
4495642,4495657
4496676,4496682
4498141,4498160
4498197,4498208
4498318,4498331
4499070,4499079
4499833,4499839
4500339,4500350
4500806,4500812
4501430,4501753
4502087,4502101
4502316,4502330
4502504,4502511
4503348,4503354
4504696,4505021
4505174,4505183
4506504,4506516
4506670,4506679
4506891,4506914
4508130,4508141
4508317,4508326
4508777,4509148
4513525,4513857
4513993,4514008
4516375,4516387
4516547,4516553
4517682,4518013
4519395,4519412
4519440,4519447
4519919,4520170
4520356,4520364
4523400,4523413
4524099,4524108
4525485,4525496
4526396,4526407
4526522,4526886
4527640,4527655
4527881,4527892
4528058,4528078
4528129,4528210
4529846,4529858
4530465,4530476
4532680,4532686
4532860,4532872
4533127,4533145
4533395,4533411
4534121,4534129
4534502,4534519
4534731,4534985
4535037,4535044
4535177,4535190
4535667,4536003
4536949,4536968
4537119,4537129
4537746,4537763
4538012,4538030
4538265,4538286
4539785,4539799
4540777,4540790
4542248,4542573
4543657,4543665
4543859,4543871
4544515,4544536
4545184,4545508
4545681,4545690
4545766,4545789
